@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 75\nSize of the tree: 103\n','Number of leaves: 90\nSize of the tree: 125\n','Number of leaves: 91\nSize of the tree: 127\n','Number of leaves: 88\nSize of the tree: 121\n','Number of leaves: 84\nSize of the tree: 116\n','Number of leaves: 95\nSize of the tree: 131\n','Number of leaves: 93\nSize of the tree: 129\n','Number of leaves: 92\nSize of the tree: 127\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1088,120,113,7,0,94.166667,5.833333,0,0.872495,0.04724,0.17257,20.654577,51.079157,143.9511,4311.496114,-4167.545014,1.199593,35.929134,-34.729542,113.349872,0.944582,78.741928,0.97619,82,0.027778,1,0.972222,35,0.02381,2,0.987952,0.97619,0.982036,0.941127,0.98793,0.994673,0.941667,0.031829,0.968171,0.058333,0.9474,0.941667,0.938233,0.903733,0.969601,0.916928,0.829887,0.941667,0,0,0,0,0,0,31697,94707,12427,96.666667,30.625,'Number of leaves: 92\nSize of the tree: 127\n',127,92,92
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1087,121,114,7,0,94.214876,5.785124,0,0.870052,0.031043,0.170952,13.607088,50.744585,144.467111,70.691044,73.776067,1.193943,0.584224,0.60972,125.79566,1.039634,87.075639,0.988235,84,0.111111,4,0.888889,32,0.011765,1,0.954545,0.988235,0.971098,0.900375,0.996732,0.99866,0.942149,0.080992,0.919008,0.057851,0.946907,0.942149,0.941208,0.885363,0.993624,0.985107,0.90706,0.942149,0.015,0,0.015625,0,15.625,0,352246,94622,12512,94.214876,25.619835,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1087,121,120,1,0,99.173554,0.826446,0,0.981733,0.00466,0.053249,2.042641,15.806133,144.467111,2.671759,141.795352,1.193943,0.022081,1.171862,141.692901,1.171016,98.079695,1,85,0,0,1,36,0,0,1,1,1,1,1,1,0.991736,0.002374,0.997626,0.008264,0.992031,0.991736,0.991352,0.99029,1,1,0.967677,0.991736,0.015,0,0.015625,0,15.625,0,366762,94622,12512,100,25.413223,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1087,121,114,7,0,94.214876,5.785124,0,0.874351,0.029133,0.16533,12.76966,49.075774,144.467111,83.080284,61.386827,1.193943,0.686614,0.507329,123.182606,1.018038,85.266886,0.964706,82,0.027778,1,0.972222,35,0.035294,3,0.987952,0.964706,0.97619,0.922861,0.995425,0.998176,0.942149,0.031665,0.968335,0.057851,0.947735,0.942149,0.941867,0.897237,0.988822,0.965184,0.873068,0.942149,0.016,0,0.015625,0,15.625,0,346602,94622,12512,95.867769,25.826446,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,4,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1087,121,117,4,0,96.694215,3.305785,0,0.926276,0.018606,0.128415,8.155107,38.116035,144.578366,32.997665,111.580701,1.194863,0.272708,0.922155,129.35534,1.069052,89.470744,1,85,0.027778,1,0.972222,35,0,0,0.988372,1,0.994152,0.980264,1,1,0.966942,0.024544,0.975456,0.033058,0.964283,0.966942,0.965195,0.950481,0.998628,0.992027,0.872877,0.966942,0.031,0,0.03125,0,31.25,0,339442,94622,12512,97.520661,25.826446,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,5,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1087,121,114,7,0,94.214876,5.785124,0,0.873242,0.02854,0.161168,12.50903,47.837583,144.578366,78.2724,66.305966,1.194863,0.646879,0.547983,119.546936,0.987991,82.686601,0.976471,83,0.027778,1,0.972222,35,0.023529,2,0.988095,0.976471,0.982249,0.941338,0.994444,0.997851,0.942149,0.027556,0.972444,0.057851,0.941694,0.942149,0.941288,0.907069,0.994104,0.977697,0.769372,0.942149,0.016,0,0.015625,0,15.625,0,337528,94622,12512,96.694215,25.826446,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,6,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1087,121,112,9,0,92.561983,7.438017,0,0.84044,0.036942,0.183245,16.144834,54.21181,147.012803,145.555174,1.457628,1.214982,1.202935,0.012047,116.761375,0.96497,79.42259,0.952941,81,0.027778,1,0.972222,35,0.047059,4,0.987805,0.952941,0.97006,0.904982,0.994771,0.997902,0.92562,0.033797,0.966203,0.07438,0.933315,0.92562,0.92572,0.873181,0.986911,0.949599,0.799313,0.92562,0.031,0,0.015625,0,15.625,0,332870,94622,12512,94.214876,25.826446,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,7,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1087,121,116,5,0,95.867769,4.132231,0,0.911949,0.020281,0.127927,8.863579,37.846167,147.012803,41.988976,105.023826,1.214982,0.347016,0.867966,135.788647,1.12222,92.365185,0.976471,83,0,0,1,36,0.023529,2,1,0.976471,0.988095,0.961809,0.997386,0.998936,0.958678,0.005592,0.994408,0.041322,0.964116,0.958678,0.959927,0.936077,0.995989,0.992302,0.90812,0.958678,0.016,0,0.03125,0,31.25,0,350066,94622,12512,97.520661,26.239669,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,8,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1087,121,115,6,0,95.041322,4.958678,0,0.895419,0.025434,0.149496,11.030837,43.850481,148.665435,75.466414,73.199021,1.22864,0.623689,0.604951,132.458344,1.094697,89.098279,0.964286,81,0.027027,1,0.972973,36,0.035714,3,0.987805,0.964286,0.975904,0.923976,0.995174,0.997947,0.950413,0.026597,0.973403,0.049587,0.95582,0.950413,0.951508,0.909807,0.994229,0.987635,0.901804,0.950413,0.016,0,0.015625,0,15.625,0,345698,94622,12512,96.694215,25.826446,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,9,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1088,120,114,6,0,95,5,0,0.89011,0.023077,0.14727,10.089686,43.59047,143.9511,89.92343,54.02767,1.199593,0.749362,0.450231,123.370615,1.028088,85.703141,0.988095,83,0.027778,1,0.972222,35,0.011905,1,0.988095,0.988095,0.988095,0.960317,0.999669,0.99986,0.95,0.027352,0.972648,0.05,0.94881,0.95,0.94899,0.922884,0.996173,0.9762,0.828463,0.95,0.016,0,0.015625,0,15.625,0,344552,94707,12427,95.833333,25.416667,?,?,?,?
